INFO 2025-12-18 10:47:56,909 log 19046 140048875906752 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1761
INFO 2025-12-18 10:47:56,911 log 19046 140048884299456 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-12-18 10:47:57,013 log 19046 140049235560128 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2025-12-18 10:48:06,537 log 19046 140049235560128 "GET /admin/users/user/b74ffbad-6759-41cf-8abd-2e488074e379/change/ HTTP/1.1" 200 21422
INFO 2025-12-18 10:48:06,593 log 19046 140049235560128 "GET /static/admin/css/forms.css HTTP/1.1" 200 8844
INFO 2025-12-18 10:48:06,596 log 19046 140049253394112 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-12-18 10:48:06,599 log 19046 140049261786816 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19698
INFO 2025-12-18 10:48:06,600 log 19046 140048875906752 "GET /static/admin/js/calendar.js HTTP/1.1" 200 9159
INFO 2025-12-18 10:48:06,600 log 19046 140048884299456 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-18 10:48:06,645 log 19046 140048875906752 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-12-18 10:48:06,670 log 19046 140049235560128 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11811
INFO 2025-12-18 10:48:06,838 log 19046 140048875906752 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 805
INFO 2025-12-18 10:48:06,840 log 19046 140049235560128 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1112
INFO 2025-12-18 10:48:12,403 log 19046 140048875906752 "GET /admin/jobs/job/ HTTP/1.1" 200 13057
INFO 2025-12-18 10:48:12,485 log 19046 140048875906752 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-18 10:48:14,722 log 19046 140048875906752 "GET /admin/jobs/jobview/ HTTP/1.1" 200 11848
INFO 2025-12-18 10:48:14,762 log 19046 140048875906752 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-18 10:48:16,268 log 19046 140048875906752 "GET /admin/jobs/jobattachment/ HTTP/1.1" 200 11306
INFO 2025-12-18 10:48:16,342 log 19046 140048875906752 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-18 10:48:17,652 log 19046 140048875906752 "GET /admin/jobs/job/ HTTP/1.1" 200 13057
INFO 2025-12-18 10:48:17,686 log 19046 140048875906752 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-18 10:48:18,972 log 19046 140048875906752 "GET /admin/users/user/ HTTP/1.1" 200 16982
INFO 2025-12-18 10:48:19,009 log 19046 140048875906752 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-18 10:48:20,820 log 19046 140048875906752 "GET /admin/users/freelancerprofile/ HTTP/1.1" 200 14212
INFO 2025-12-18 10:48:20,890 log 19046 140048875906752 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-18 10:58:32,122 log 19046 140048884299456 "GET /admin/users/ HTTP/1.1" 200 6027
INFO 2025-12-18 10:58:32,169 log 19046 140048884299456 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-12-18 10:58:32,193 log 19046 140048884299456 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-12-18 10:58:32,195 log 19046 140049235560128 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-12-18 10:58:32,195 log 19046 140049253394112 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-12-18 10:58:32,198 log 19046 140049243952832 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:32,198 log 19046 140049261786816 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-12-18 10:58:32,257 log 19046 140048884299456 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,150 log 19046 140048884299456 "GET /admin/users/user/ HTTP/1.1" 200 16982
INFO 2025-12-18 10:58:35,191 log 19046 140048884299456 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,218 log 19046 140049261786816 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-18 10:58:35,220 log 19046 140049235560128 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,220 log 19046 140048867514048 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,220 log 19046 140049253394112 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,223 log 19046 140049243952832 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,238 log 19046 140048884299456 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,240 log 19046 140049253394112 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,241 log 19046 140048867514048 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,244 log 19046 140049235560128 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,245 log 19046 140049261786816 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,246 log 19046 140049243952832 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-12-18 10:58:35,301 log 19046 140049261786816 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
